Date,Open,High,Low,Close,Adj Close,Volume
2023-05-19,10.400000,11.100000,10.300000,10.900000,10.900000,1484310
2023-05-22,11.100000,12.600000,10.900000,11.700000,11.700000,1352200
2023-05-23,11.700000,11.700000,10.500000,10.700000,10.700000,1054610
2023-05-24,10.600000,10.800000,10.400000,10.500000,10.500000,419490
2023-05-25,10.500000,10.500000,8.710000,8.830000,8.830000,2944690
2023-05-26,8.890000,9.040000,8.300000,8.770000,8.770000,1625620
2023-05-30,9.140000,9.140000,8.400000,8.500000,8.500000,727050
2023-05-31,8.540000,8.570000,8.000000,8.350000,8.350000,624940
2023-06-01,8.300000,8.630000,8.070000,8.350000,8.350000,698910
2023-06-02,8.600000,8.640000,8.170000,8.250000,8.250000,556350
2023-06-05,8.400000,8.460000,7.720000,7.830000,7.830000,623180
2023-06-06,7.800000,7.800000,7.110000,7.390000,7.390000,1639660
2023-06-07,7.560000,7.700000,7.150000,7.230000,7.230000,1058430
2023-06-08,7.210000,7.350000,6.910000,6.940000,6.940000,1124320
2023-06-09,7.090000,7.200000,6.640000,6.800000,6.800000,1262710
2023-06-12,6.850000,7.370000,6.700000,7.300000,7.300000,1094750
2023-06-13,7.400000,7.400000,6.880000,7.050000,7.050000,1358570
2023-06-14,7.000000,7.120000,6.510000,6.680000,6.680000,1819120
2023-06-15,6.550000,6.600000,6.420000,6.470000,6.470000,1085660
2023-06-16,6.510000,6.590000,6.270000,6.300000,6.300000,1073280
2023-06-20,6.380000,6.400000,5.930000,6.030000,6.030000,1038230
2023-06-21,6.000000,6.320000,5.870000,6.000000,6.000000,1722440
2023-06-22,5.980000,6.070000,5.610000,6.010000,6.010000,1198240
2023-06-23,5.590000,5.630000,5.000000,5.180000,5.180000,2667200
2023-06-26,5.200000,5.680000,5.100000,5.170000,5.170000,1364160
2023-06-27,5.220000,5.220000,4.690000,4.740000,4.740000,1658560
2023-06-28,4.630000,4.630000,4.270000,4.320000,4.320000,1660750
2023-06-29,4.400000,4.580000,4.300000,4.380000,4.380000,1127620
2023-06-30,4.280000,4.300000,3.840000,3.880000,3.880000,2928620
2023-07-03,4.010000,6.330000,4.000000,5.900000,5.900000,8770350
2023-07-05,5.660000,5.800000,4.490000,4.590000,4.590000,4520030
2023-07-06,4.440000,4.600000,4.110000,4.250000,4.250000,2599410
2023-07-07,4.270000,5.140000,4.020000,4.760000,4.760000,5174610
2023-07-10,4.750000,4.870000,4.310000,4.800000,4.800000,2563580
2023-07-11,4.740000,5.970000,4.740000,5.520000,5.520000,6551600
2023-07-12,5.780000,6.200000,5.200000,5.630000,5.630000,3645320
2023-07-13,5.600000,6.800000,5.400000,6.500000,6.500000,6184990
2023-07-14,5.420000,5.420000,3.830000,3.840000,3.840000,18413310
2023-07-17,4.020000,4.040000,3.460000,3.740000,3.740000,7582730
2023-07-18,3.790000,3.980000,3.620000,3.900000,3.900000,3054400
2023-07-19,3.930000,4.500000,3.910000,4.180000,4.180000,4926760
2023-07-20,4.280000,4.280000,3.770000,3.900000,3.900000,2725580
2023-07-21,3.950000,4.100000,3.770000,3.870000,3.870000,2015570
2023-07-24,3.920000,4.090000,3.820000,3.950000,3.950000,1868710
2023-07-25,3.840000,3.950000,3.800000,3.890000,3.890000,1557920
2023-07-26,4.000000,4.320000,3.880000,4.020000,4.020000,4903980
2023-07-27,4.200000,4.440000,4.030000,4.100000,4.100000,4196650
2023-07-28,4.300000,4.770000,4.110000,4.750000,4.750000,5355690
2023-07-31,5.300000,5.300000,4.670000,4.930000,4.930000,5917880
2023-08-01,4.850000,4.860000,4.610000,4.720000,4.720000,2419240
2023-08-02,4.610000,4.690000,4.400000,4.420000,4.420000,2285410
2023-08-03,4.400000,4.890000,4.300000,4.630000,4.630000,2495100
2023-08-04,4.630000,4.700000,4.430000,4.470000,4.470000,1417070
2023-08-07,4.500000,4.500000,4.050000,4.380000,4.380000,1457820
2023-08-08,4.380000,4.770000,4.300000,4.690000,4.690000,3078770
2023-08-09,4.770000,4.800000,4.360000,4.680000,4.680000,2918800
2023-08-10,4.540000,4.600000,4.190000,4.310000,4.310000,2188380
2023-08-11,4.230000,4.390000,3.900000,4.030000,4.030000,2116730
2023-08-14,4.000000,4.000000,3.800000,3.980000,3.980000,1058780
2023-08-15,3.940000,3.960000,3.810000,3.850000,3.850000,1010320
2023-08-16,3.860000,4.070000,3.810000,3.840000,3.840000,1128520
2023-08-17,3.890000,4.290000,3.830000,4.120000,4.120000,2093570
2023-08-18,4.100000,4.620000,4.010000,4.620000,4.620000,3951020
2023-08-21,4.500000,4.670000,4.120000,4.150000,4.150000,1953500
2023-08-22,4.210000,4.220000,3.980000,4.020000,4.020000,1211250
2023-08-23,4.000000,4.250000,3.920000,4.180000,4.180000,799470
2023-08-24,4.120000,4.140000,3.880000,3.900000,3.900000,1001880
2023-08-25,3.930000,3.990000,3.840000,3.900000,3.900000,850050
2023-08-28,3.990000,3.990000,3.840000,3.900000,3.900000,709280
2023-08-29,3.900000,4.090000,3.810000,4.020000,4.020000,1130880
2023-08-30,4.100000,4.850000,3.950000,4.550000,4.550000,4102210
2023-08-31,4.750000,6.480000,4.650000,5.720000,5.720000,17534570
2023-09-01,6.300000,6.330000,5.240000,5.500000,5.500000,6125850
2023-09-05,5.520000,7.170000,5.380000,6.840000,6.840000,13215840
2023-09-06,7.650000,8.300000,6.860000,8.020000,8.020000,12652050
2023-09-07,7.600000,7.800000,6.620000,7.600000,7.600000,6651590
2023-09-08,7.510000,9.590000,7.360000,9.320000,9.320000,12174210
2023-09-11,10.300000,17.900000,10.200000,16.900000,16.900000,27872570
2023-09-12,15.000000,19.200001,13.100000,13.400000,13.400000,19864860
2023-09-13,12.900000,14.000000,10.400000,11.600000,11.600000,13132760
2023-09-14,11.200000,14.800000,11.100000,12.500000,12.500000,11807640
2023-09-15,14.600000,15.680000,12.800000,13.500000,13.500000,11976260
2023-09-18,11.750000,12.300000,11.000000,11.400000,11.400000,6872780
2023-09-19,11.700000,12.600000,9.930000,10.300000,10.300000,4685820
2023-09-20,10.600000,11.400000,8.660000,8.720000,8.720000,8527450
2023-09-21,8.500000,9.050000,7.610000,7.670000,7.670000,6547760
